date,nse,prediction,dji,ftse,nikkei,SandP,ssec
20110622,0.545883602,0,0.907503664,1.011106253,0.69336364,1.342347633,0.077500066
20110623,-0.174298543,1,-0.659063048,0.098659685,-0.744695826,-0.646844886,-0.326918967
20110624,0.439849624,1,-0.492746048,-1.224084809,0.309370195,-0.282798682,-0.379318319
20110627,-0.549234636,1,-0.95784166,-0.79016559,-0.462768687,-1.172578808,0.020980581
20110628,0.402598343,0,0.913140548,0.784458769,0.936492972,0.918445776,0.053763138
20110629,0.382305736,1,1.205049547,0.340681711,1.232562211,1.294435459,-0.065308813
20110630,0.250872698,1,0.596696507,0.929851775,0.416749979,0.828274706,0.055306669
20110701,1.033218826,0,1.247163224,1.112358213,0.637734444,1.011922859,0.208433083
20110704,0.930302815,0,0,0.609053498,1.135884114,0,0.419585388
20110705,0.165472082,0,1.356734971,0.434615706,-0.057201652,1.440970195,-0.003419738
20110706,-0.166900446,1,-0.102516461,0.100199402,0.148308833,-0.133617902,-0.161168056
20110707,0.14043321,1,0.44669841,-0.275438159,-0.350410597,0.100155918,0.096571118
20110708,0.099494672,0,0.740302197,0.47044572,1.336197438,1.04538465,0.098730326
20110711,-0.222589279,0,-0.48972112,-1.475585086,-0.677870656,-0.69611166,-0.297338174
20110712,-1.054112284,0,-1.196476532,-0.750585872,-1.253384752,-1.80905329,-0.676848248
20110713,0.287722917,1,-0.470822174,-0.082399809,-0.350693641,-0.443351222,0.052637786
20110714,-0.294515214,1,0.359370946,0.721438441,-0.340856007,0.310584023,0.097866693
20110715,0.056252009,0,-0.436214615,-0.176702576,-0.166365471,-0.671612801,-0.244058618
20110718,0.01164645,0,0.342606243,0.375485245,0,0.555442483,0.042159354
20110719,0.050295938,1,-0.757791286,-0.881977946,-0.531053063,-0.812989034,-0.417685312
20110720,0.507700118,0,1.633081506,0.28735234,1.195992164,1.630870815,0.480987029
20110721,-0.223637294,0,-0.123216355,0.562093075,0.140317607,-0.067083281,0.060515172
20110722,0.637902411,1,1.213021713,0.703056992,0.864102228,1.35461922,0.143497688
20110725,-0.00266243,1,-0.339897877,-0.110744581,-0.506212805,0.090785158,-0.402849326
20110726,0.143478337,0,-0.696784434,0.499677737,0.283290272,-0.56430134,-0.111285629
20110727,0.245746522,0,-0.72660569,-0.093845298,-0.489020208,-0.410497206,-0.476570946
